投稿日,タイトル,再生数
2021-01-15,【目立ちたいだけ】オープンカーで岡崎徘徊！地元のスター、ローカルスターになりたいんだ！【LSP】,3240451
2021-01-14,【吐瀉】しばゆーシェフに存在しない料理名をオーダーして敵チームに食わせよう！,4115541
2021-01-13,【骨折経験あり】指定された金額でプロラグビー選手のタックルを防ごう！,5334606
2021-01-12,ロブスター片手に持ってるだけでじゃんけん絶対勝てる説,3736946
2021-01-10,【サバイバル！？】実家にある物だけでソロキャンプ対決！！！！【お父さん】,6988816
2021-01-09,【てつや以外イヤホンガンガン】みんなで楽しく新しい屋台のゲームを考えよう！！！,2887214
2021-01-08,【巨万】毎週てつやの財布にお金を入れ続けたらいつ気づくの？,6082457
2021-01-07,【尻すぼみ】1日の予定を毎時間ダーツで決めたら効率よく生活できるはず！ 後編,6344750
2021-01-06,【超計画的】1日の予定を毎時間ダーツで決めたら効率よく生活できるはず！ 前編,12510397
2021-01-05,元カノとの思い出の物を燃やしたら激ウマ焼きエモ芋になるんじゃね！？,5450938
2020-12-31,2020年の振り返り＆来年の抱負,1615014
2020-12-27,2020年もありがとう！メンバーによる｢○○集｣で東海オンエアを振り返ろう！！,10065351
