投稿日,タイトル,再生数
2021-04-07,登録者900万人突破したのに祝えなくなりました…,4099870
2021-04-03,【飯テロ】超高級食材でペッパーランチ作ったら美味すぎて言葉を失いました…【TikTokで大人気】【ビーフペッパーライス】,4810015
2021-04-02,【鬼から電話】赤鬼と青鬼から電話きてこわすぎた…【ヒカキンTV】,8085913
2021-03-30,お金無限で兄弟でクレーンゲームしまくったらとれすぎたw【鬼滅の刃】【ヒカキン&セイキン】,4006659
2021-03-28,コムドット100万人記念にサプライズで1000万円の超巨大プレゼントあげたら全員発狂したw【ドッキリ】【ヒカキンTV】,6385849
2021-03-26,マインクラフトのクレーンゲーム全種類ゲットできるまで帰れませんw【ヒカキンvsセイキン 】【マイクラ】,4780928
2021-03-25,ポケモンチョコエッグ全種類出るまで120個開封www【ヒカキンTV】,2883564
2021-03-23,1枚110万円のマスクを購入しました。,2879463
2021-03-20,さよなら、たけお,4251953
2021-03-19,祭りの大判焼き業務用マシンで作ったら美味すぎた！【今川焼き】【ヒカキンTV】,2656912
2021-03-16,最強の下剤 vs ヒカキンの無敵な大腸！勝つのはどっち!?【健康診断は定期的に】,2751868
2021-03-13,12万円分のカニを食べ比べしたら幸せ通り越して暴れましたw【ご当地取り寄せグルメ・生産者応援】,2721348
2021-03-10,この動画で命を救いたい。3.11から10年、コロナ禍でもし今災害が起きたら。,2474289
2021-03-06,かじるバターアイス大量買いしてクレームブリュレにしたりホットケーキと合うか試してみた！,1971755
2021-03-05,【TikTokで1000万再生!?】話題のシルクもち焼いて食べてみた！【シルク餅】【ヒカキンTV】,2755116
2021-03-02,【オリーブオイル４万円】超高級食材でペペロンチーノ作ったら美味すぎたwww【ヒカキンTV】,2530149
2021-02-27,僕の弟が悪さしている件についてご報告【注意喚起】,8657715
2021-02-26,170万円のイヤホン福袋買ったら中身ブっ飛びすぎててワロタwww,3964405
2021-02-23,【閲覧注意】足が大変なことになってしまいました…,5448325
2021-02-19,【人気すぎて品薄】1個490円の一蘭カップ麺のヒカキン流食べ方！【ラーメン】【カップラーメン】,3363256
2021-02-16,100万円の前歯３本折れました…,7644882
2021-02-13,【重大発表】ニンテンドースイッチ マリオレッド×ブルー セット開封！【Nintendo Switch】,1658858
2021-02-12,"通販限定の5,000円ブラックサンダーがヤバすぎた…【ヒカキンTV】【バレンタイン】",1712321
2021-02-10,超大量のチロルチョコ溶かして巨大チロルチョコ作ったら化け物出来たwww,3979668
2021-02-06,さようならデカキン。今までありがとう。,5011179
2021-02-05,ばかうけヒカキンコラボで当たり全種類コンプするまで開封www,1525334
2021-02-04,BTSのDynamiteのMV衣装をオークションで落札したるぞ！前編【ヒカキン×前澤友作コラボ】,3874683
2021-02-02,【大人買い】セブンのスーパマリオ一番くじ神引き!?【マリオ35周年】,1622789
2021-01-30,【超簡単】餃子の皮に豚肉としそ挟んで焼くだけで最高にウマいらしいw【話題のバズり飯】,2616807
2021-01-29,べったりまるお。手を離してくれません。#Shorts,1993857
2021-01-27,【花2500本】解散するさんこいちに超本気のサプライズドッキリしかけてみたwww【ありがとう】,1466500
2021-01-25,はっ!? ファミマにヒカキンおむすび大量に売ってるんやけどぉぉぉぉぉ!?,1203830
2021-01-23,【爆買い】グッチ×ドラえもん コラボ全部開封してみた！【Gucci × Doraemon】,4912562
