投稿日,タイトル,再生数
2021-02-27,【人間卒業】東大数学科の暗算が凄すぎた,3944213
2021-02-26,【猛勉強】ふくらP、“野菜マエストロ“になる。【検定合格！？】,1509929
2021-02-24,佐藤健さんと謎解きバトル！ふくらPの問題に大苦戦！？,1503526
2021-02-22,東大クイズ王なら相手にネット検索されても勝てる？【人vsGoogle】,937621
2021-02-19,東大生が一番強そうな〇〇を決める大激論【名前だけランキング】,970826
2021-02-17,【悲報】東大生のプレゼン、難しすぎて理解できない,582805
2021-02-16,知ってるだけじゃ意味がない！【実行できなきゃ減点クイズ】,2026425
2021-02-13,正解したら死ぬまで〇〇を没収されるクイズ,1436234
2021-02-12,難解なゲームのはずが、賢すぎて余裕だし大盛り上がり【ウミガメ×人狼】,1327404
2021-02-10,【最速最強】10人の壁！得意ジャンルクイズなら全員倒せる？,1007280
2021-02-09,クイズノックでも解けない！？｢好き｣の問題,311829
2021-02-08,【暴走機関車】問題出す人が止まらなくなったらどうなる？,1246632
2021-02-05,【理系ホイホイ】元素人狼！爆笑の頭脳戦オブ頭脳戦！【はなおでんがん】,1681061
2021-02-04,難問謎解きに挑戦！アンサーキューブ with佐藤健,908024
2021-02-02,【読める！読めるぞ！！】漢字の情報量減らしてみた【東大検証】,1202744
2021-01-30,【全部で7兆問】今、何問目？,1972334
2021-01-29,QuizKnockが教える豆知識、一瞬で広まる説,795193
2021-01-29,マクドナルド「みんなで！どう解く？」のアンバサダーになりました！,241016
2021-01-27,東大王・鶴崎が作ったパズルにふくらPが挑戦！,1114995
2021-01-23,聖徳太子なら同時に10問のクイズ出されても答えられるはず【聖徳太子とは言ってない】,832783
2021-01-22,1問誤答で即敗退！！緊張感がヤバイ！！！,883504
2021-01-20,中学までに習ったか習ってないか見分けるのムズすぎwww,1282918
2021-01-16,【変なクイズ】東大生、万物をレーダーチャートにしてしまう,1057297
2021-01-15,【東大検証】ドリフトでGがかかってもセンター試験解ける説,894084
2021-01-14,【応援】受験生へ,364898
2021-01-13,【マジ速い】東大生が語彙力で勝負したら激アツだった,991551
